"pathway_id","count","pathway_name"
"hsa00532",8,"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human)"
"hsa00563",8,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Homo sapiens (human)"
"hsa00590",8,"Arachidonic acid metabolism - Homo sapiens (human)"
"hsa00760",8,"Nicotinate and nicotinamide metabolism - Homo sapiens (human)"
"hsa04136",8,"Autophagy - other - Homo sapiens (human)"
"hsa04979",8,"Cholesterol metabolism - Homo sapiens (human)"
"hsa05033",8,"Nicotine addiction - Homo sapiens (human)"
"hsa00052",7,"Galactose metabolism - Homo sapiens (human)"
"hsa00071",7,"Fatty acid degradation - Homo sapiens (human)"
"hsa00601",7,"Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human)"
"hsa01250",7,"Biosynthesis of nucleotide sugars - Homo sapiens (human)"
"hsa03020",7,"RNA polymerase - Homo sapiens (human)"
"hsa03273",7,"Virion - Lassa virus and SFTS virus - Homo sapiens (human)"
"hsa04392",7,"Hippo signaling pathway - multiple species - Homo sapiens (human)"
"hsa04930",7,"Type II diabetes mellitus - Homo sapiens (human)"
"hsa00020",6,"Citrate cycle (TCA cycle) - Homo sapiens (human)"
"hsa00512",6,"Mucin type O-glycan biosynthesis - Homo sapiens (human)"
"hsa00515",6,"Mannose type O-glycan biosynthesis - Homo sapiens (human)"
"hsa00604",6,"Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)"
"hsa00630",6,"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"
"hsa00920",6,"Sulfur metabolism - Homo sapiens (human)"
"hsa01210",6,"2-Oxocarboxylic acid metabolism - Homo sapiens (human)"
"hsa03022",6,"Basal transcription factors - Homo sapiens (human)"
"hsa03272",6,"Virion - Hepatitis viruses - Homo sapiens (human)"
"hsa03430",6,"Mismatch repair - Homo sapiens (human)"
"hsa04960",6,"Aldosterone-regulated sodium reabsorption - Homo sapiens (human)"
"hsa00061",5,"Fatty acid biosynthesis - Homo sapiens (human)"
"hsa00100",5,"Steroid biosynthesis - Homo sapiens (human)"
"hsa00340",5,"Histidine metabolism - Homo sapiens (human)"
"hsa00450",5,"Selenocompound metabolism - Homo sapiens (human)"
"hsa00533",5,"Glycosaminoglycan biosynthesis - keratan sulfate - Homo sapiens (human)"
"hsa00603",5,"Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)"
"hsa00620",5,"Pyruvate metabolism - Homo sapiens (human)"
"hsa00670",5,"One carbon pool by folate - Homo sapiens (human)"
"hsa00770",5,"Pantothenate and CoA biosynthesis - Homo sapiens (human)"
"hsa00900",5,"Terpenoid backbone biosynthesis - Homo sapiens (human)"
"hsa01040",5,"Biosynthesis of unsaturated fatty acids - Homo sapiens (human)"
"hsa03265",5,"Virion - Ebolavirus, Lyssavirus and Morbillivirus - Homo sapiens (human)"
"hsa03450",5,"Non-homologous end-joining - Homo sapiens (human)"
"hsa04710",5,"Circadian rhythm - Homo sapiens (human)"
"hsa04913",5,"Ovarian steroidogenesis - Homo sapiens (human)"
"hsa04977",5,"Vitamin digestion and absorption - Homo sapiens (human)"
"hsa04981",5,"Folate transport and metabolism - Homo sapiens (human)"
"hsa05310",5,"Asthma - Homo sapiens (human)"
"hsa00120",4,"Primary bile acid biosynthesis - Homo sapiens (human)"
"hsa00130",4,"Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)"
"hsa00350",4,"Tyrosine metabolism - Homo sapiens (human)"
"hsa00380",4,"Tryptophan metabolism - Homo sapiens (human)"
"hsa00410",4,"beta-Alanine metabolism - Homo sapiens (human)"
"hsa00531",4,"Glycosaminoglycan degradation - Homo sapiens (human)"
"hsa04950",4,"Maturity onset diabetes of the young - Homo sapiens (human)"
"hsa04964",4,"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"
"hsa04966",4,"Collecting duct acid secretion - Homo sapiens (human)"
"hsa04975",4,"Fat digestion and absorption - Homo sapiens (human)"
"hsa04980",4,"Cobalamin transport and metabolism - Homo sapiens (human)"
