"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj","GeneRatio"
"GO:0098960",0.847214006748643,0.243128994674492,11,54,"postsynaptic neurotransmitter receptor activity","MF",1,0.0025664955669622
"GO:0141110",0.847848028551698,0.246563959468843,10,51,"transporter inhibitor activity","MF",1,0.00233317778814746
"GO:0016423",0.848227207190796,0.379652166508177,2,12,"tRNA (guanine) methyltransferase activity","MF",1,0.000466635557629491
"GO:0008527",0.84881660892142,0.331736183337364,3,18,"taste receptor activity","MF",1,0.000699953336444237
"GO:0061578",0.849520599970401,0.332231673170206,3,17,"K63-linked deubiquitinase activity","MF",1,0.000699953336444237
"GO:0015271",0.849608549211812,0.305375952288296,4,22,"outward rectifier potassium channel activity","MF",1,0.000933271115258983
"GO:0051019",0.85009100991362,0.28664644760674,5,27,"mitogen-activated protein kinase binding","MF",1,0.00116658889407373
"GO:0099103",0.850159650005745,0.376359456626334,2,12,"channel activator activity","MF",1,0.000466635557629491
"GO:0000400",0.850471414040751,0.330702875503607,3,17,"four-way junction DNA binding","MF",1,0.000699953336444237
"GO:0005244",0.851814445720223,0.198521144159145,32,146,"voltage-gated monoatomic ion channel activity","MF",1,0.00746616892207186
"GO:0030228",0.852126473705233,0.328033120170091,3,17,"lipoprotein particle receptor activity","MF",1,0.000699953336444237
"GO:0140566",0.852344573443701,0.210377966309523,21,98,"histone reader activity","MF",1,0.00489967335510966
"GO:0160002",0.852411987218002,0.472414505619704,1,7,"ADP-D-ribose modification-dependent protein binding","MF",1,0.000233317778814746
"GO:0008569",0.854603451482716,0.325869509645355,3,16,"minus-end-directed microtubule motor activity","MF",1,0.000699953336444237
"GO:0004301",0.854784375914432,0.467918565989731,1,7,"epoxide hydrolase activity","MF",1,0.000233317778814746
"GO:0023029",0.854890169101552,0.475589548425126,1,6,"MHC class Ib protein binding","MF",1,0.000233317778814746
"GO:0015925",0.855546002223449,0.466465955921053,1,7,"galactosidase activity","MF",1,0.000233317778814746
"GO:0046975",0.855979283903362,0.366328026890968,2,12,"histone H3K36 methyltransferase activity","MF",1,0.000466635557629491
"GO:0035242",0.856529283236788,0.464583878911533,1,7,"protein-arginine omega-N asymmetric methyltransferase activity","MF",1,0.000233317778814746
"GO:0070061",0.857398246253585,0.462914270982246,1,7,"fructose binding","MF",1,0.000233317778814746
"GO:0008401",0.85803971273605,0.461677925641622,1,7,"retinoic acid 4-hydroxylase activity","MF",1,0.000233317778814746
"GO:0015172",0.858566142006598,0.315933141208654,3,18,"acidic amino acid transmembrane transporter activity","MF",1,0.000699953336444237
"GO:0008312",0.858643960602869,0.460510310640417,1,7,"7S RNA binding","MF",1,0.000233317778814746
"GO:0004861",0.858665550373721,0.358908183678778,2,13,"cyclin-dependent protein serine/threonine kinase inhibitor activity","MF",1,0.000466635557629491
"GO:0016627",0.859311183012572,0.22603940100822,11,57,"oxidoreductase activity, acting on the CH-CH group of donors","MF",1,0.0025664955669622
"GO:0033300",0.860154425755377,0.457578729834868,1,7,"dehydroascorbic acid transmembrane transporter activity","MF",1,0.000233317778814746
"GO:0004128",0.86035133903704,0.457195191241539,1,7,"cytochrome-b5 reductase activity, acting on NAD(P)H","MF",1,0.000233317778814746
"GO:0061135",0.860606475211554,0.187585386754139,32,151,"endopeptidase regulator activity","MF",1,0.00746616892207186
"GO:0016289",0.860693399403631,0.287041732418851,4,23,"acyl-CoA hydrolase activity","MF",1,0.000933271115258983
"GO:0047617",0.860693399403631,0.287041732418851,4,23,"fatty acyl-CoA hydrolase activity","MF",1,0.000933271115258983
"GO:0009982",0.86123808575569,0.35438503450978,2,13,"pseudouridine synthase activity","MF",1,0.000466635557629491
"GO:0022853",0.861671080995924,0.199725460391165,20,98,"active monoatomic ion transmembrane transporter activity","MF",1,0.00466635557629491
"GO:0015234",0.861721660607003,0.454517380620072,1,7,"thiamine transmembrane transporter activity","MF",1,0.000233317778814746
"GO:0120019",0.861893025387644,0.454181425571873,1,7,"phosphatidylcholine transfer activity","MF",1,0.000233317778814746
"GO:0016531",0.862300095213238,0.453382408099224,1,7,"copper chaperone activity","MF",1,0.000233317778814746
"GO:0099604",0.862974399439763,0.267189227814319,5,27,"ligand-gated calcium channel activity","MF",1,0.00116658889407373
"GO:0050542",0.863551305683413,0.45091787380185,1,7,"icosanoid binding","MF",1,0.000233317778814746
"GO:0050543",0.863551305683413,0.45091787380185,1,7,"icosatetraenoic acid binding","MF",1,0.000233317778814746
"GO:0008199",0.86371887377908,0.450586821800938,1,7,"ferric iron binding","MF",1,0.000233317778814746
"GO:1990050",0.864052710889404,0.449926583998195,1,7,"phosphatidic acid transfer activity","MF",1,0.000233317778814746
"GO:0016641",0.864417959136726,0.348744464201894,2,13,"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor","MF",1,0.000466635557629491
"GO:0009922",0.864715675823138,0.448612648311031,1,7,"fatty acid elongase activity","MF",1,0.000233317778814746
"GO:1901612",0.864740696994034,0.348168870734469,2,13,"cardiolipin binding","MF",1,0.000466635557629491
"GO:0010851",0.865438434018566,0.304557198438822,3,18,"cyclase regulator activity","MF",1,0.000699953336444237
"GO:0031432",0.865581072546267,0.346667367328275,2,13,"titin binding","MF",1,0.000466635557629491
"GO:0015453",0.865951684172892,0.221180797095631,10,53,"oxidoreduction-driven active transmembrane transporter activity","MF",1,0.00233317778814746
"GO:0016813",0.866135745240907,0.445785700310481,1,7,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines","MF",1,0.000233317778814746
"GO:0032394",0.866150304366432,0.445756628509662,1,7,"MHC class Ib receptor activity","MF",1,0.000233317778814746
"GO:0004723",0.866167195739889,0.445722897383011,1,7,"calcium-dependent protein serine/threonine phosphatase activity","MF",1,0.000233317778814746
"GO:0000166",0.86626613718608,0.146126993578494,481,1989,"nucleotide binding","MF",1,0.112225851609893
"GO:1902387",0.866280049196052,0.445497472803245,1,7,"ceramide 1-phosphate binding","MF",1,0.000233317778814746
"GO:1902388",0.866472152129289,0.445113497136991,1,7,"ceramide 1-phosphate transfer activity","MF",1,0.000233317778814746
"GO:0023024",0.866606961242916,0.444843851850761,1,7,"MHC class I protein complex binding","MF",1,0.000233317778814746
"GO:0016853",0.866842655597674,0.160422550560358,92,402,"isomerase activity","MF",1,0.0214652356509566
"GO:0008170",0.867254966813038,0.192893498878974,20,95,"N-methyltransferase activity","MF",1,0.00466635557629491
"GO:0034061",0.867711079226974,0.259148232179046,5,28,"DNA polymerase activity","MF",1,0.00116658889407373
"GO:0001849",0.867929363859316,0.442190495047058,1,7,"complement component C1q complex binding","MF",1,0.000233317778814746
"GO:0086008",0.868102714681388,0.342138136846879,2,13,"voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization","MF",1,0.000466635557629491
"GO:0015252",0.868503775130944,0.298026338584457,3,19,"proton channel activity","MF",1,0.000699953336444237
"GO:0016312",0.869311283355016,0.439401518142655,1,7,"inositol bisphosphate phosphatase activity","MF",1,0.000233317778814746
"GO:0032027",0.869557658209528,0.438902532641071,1,7,"myosin light chain binding","MF",1,0.000233317778814746
"GO:0034190",0.869620247540794,0.438775684870925,1,7,"apolipoprotein receptor binding","MF",1,0.000233317778814746
"GO:0052658",0.870414934683488,0.437162114965743,1,7,"inositol-1,4,5-trisphosphate 5-phosphatase activity","MF",1,0.000233317778814746
"GO:0015267",0.871168606882876,0.154652234018082,98,429,"channel activity","MF",1,0.0228651423238451
"GO:0022803",0.871168606882876,0.154652234018082,98,429,"passive transmembrane transporter activity","MF",1,0.0228651423238451
"GO:0016595",0.87183423656779,0.434266353151662,1,7,"glutamate binding","MF",1,0.000233317778814746
"GO:0022832",0.872002376585456,0.173791868463624,32,148,"voltage-gated channel activity","MF",1,0.00746616892207186
"GO:0005215",0.874164193161138,0.141718267817104,255,1081,"transporter activity","MF",1,0.0594960335977602
"GO:0016849",0.87431043057023,0.248889181717169,5,28,"phosphorus-oxygen lyase activity","MF",1,0.00116658889407373
"GO:0042500",0.874756540743416,0.428246886924972,1,7,"aspartic endopeptidase activity, intramembrane cleaving","MF",1,0.000233317778814746
